2026-02-10 16:05:06 | __main__ | INFO | Starting MTA ingestion job
2026-02-10 16:05:06 | __main__ | INFO | Fetching MTA data from 2025-01-01 to 2025-01-07
2026-02-10 16:07:03 | __main__ | INFO | Starting MTA ingestion job
2026-02-10 16:07:03 | __main__ | INFO | Fetching MTA data from 2025-01-01 to 2025-01-07
2026-02-10 16:07:04 | __main__ | INFO | MTA API request successful
2026-02-10 16:08:26 | __main__ | INFO | Starting MTA ingestion job
2026-02-10 16:08:26 | __main__ | INFO | Fetching MTA data from 2025-01-01 to 2025-01-07
2026-02-10 16:08:27 | __main__ | INFO | MTA API request successful
2026-02-10 16:10:04 | __main__ | ERROR | Missing environment variables: AWS_ACCESS_KEY, AWS_SECRET_KEY, AWS_REGION, AWS_BUCKET_NAME, NY_APP_TOKEN
2026-02-10 16:10:04 | __main__ | INFO | Ensure your .env file is in the root directory.
2026-02-10 16:12:19 | __main__ | INFO | Starting MTA ingestion job
2026-02-10 16:12:19 | __main__ | INFO | Fetching MTA data from 2025-01-01 to 2025-01-07
2026-02-10 16:12:20 | __main__ | INFO | MTA API request successful
2026-02-10 16:12:20 | __main__ | INFO | Uploaded data to s3://transit-ml/bronze/mta/start_date=2025-01-01/end_date=2025-01-07/mta_daily_ridership.csv
2026-02-10 16:12:20 | __main__ | INFO | MTA ingestion job completed successfully
2026-02-10 16:36:29 | __main__ | INFO | Starting MTA ingestion job
2026-02-10 16:36:29 | __main__ | INFO | Fetching MTA data from 2025-02-01 to 2025-02-07
2026-02-10 16:36:30 | __main__ | INFO | MTA API request successful
2026-02-10 16:36:31 | __main__ | INFO | Uploaded data to s3://transit-ml/bronze/mta/start_date=2025-02-01/end_date=2025-02-07/mta_daily_ridership.csv
2026-02-10 16:36:31 | __main__ | INFO | MTA ingestion job completed successfully
2026-02-10 16:41:05 | __main__ | INFO | Starting MTA ingestion job
2026-02-10 16:41:05 | __main__ | INFO | Fetching MTA data from 2026-02-01 to 2026-02-07
2026-02-10 16:41:05 | __main__ | INFO | MTA API request successful
2026-02-10 16:41:06 | __main__ | INFO | Uploaded data to s3://transit-ml/bronze/mta/2026-02-01 - 2026-02-07.csv
